<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;OPEN_WIN;HIGH_WIN;LOW_WIN;CLOSE_WIN;VOL_WIN
2017.01.02;09:00:00;3285.5;3295.5;3282;3289.5;7912;60890;60890;60590;60645;11909
2017.01.02;09:15:00;3289.5;3293.5;3285;3293;9237;60640;60695;60495;60510;15711
2017.01.02;09:30:00;3293;3299.5;3291.5;3297;9468;60515;60545;60465;60495;9817
2017.01.02;09:45:00;3297;3300;3294;3299;5500;60495;60555;60370;60405;14295
2017.01.02;10:00:00;3298.5;3302.5;3294.5;3299;9007;60395;60420;60210;60260;16908
2017.01.02;10:15:00;3299;3305.5;3297;3303.5;7882;60260;60345;60205;60305;12679
2017.01.02;10:30:00;3303;3307;3303;3305.5;6864;60305;60360;60250;60310;15176
2017.01.02;10:45:00;3305.5;3306;3301;3302.5;3430;60310;60395;60305;60365;12099
2017.01.02;11:00:00;3303.5;3305.5;3301;3301.5;5238;60365;60480;60360;60460;12313
2017.01.02;11:15:00;3301.5;3302;3295.5;3299.5;8723;60465;60550;60440;60540;12400
2017.01.02;11:30:00;3299.5;3304;3299.5;3303.5;4533;60545;60550;60470;60515;12679
2017.01.02;11:45:00;3303.5;3306.5;3300.5;3300.5;5421;60510;60610;60475;60570;12543
2017.01.02;12:00:00;3300.5;3304.5;3300.5;3303;3567;60565;60600;60490;60500;6761
2017.01.02;12:15:00;3303;3305;3303;3304;1752;60505;60505;60390;60430;14912
2017.01.02;12:30:00;3304;3304;3301.5;3302;2206;60430;60445;60400;60445;3651
2017.01.02;12:45:00;3301.5;3303;3298;3299;4246;60445;60515;60430;60460;7376
2017.01.02;13:00:00;3298.5;3301.5;3298;3301;2695;60460;60465;60260;60320;17641
2017.01.02;13:15:00;3301.5;3302.5;3301;3302;2113;60325;60515;60290;60500;13559
2017.01.02;13:30:00;3302;3303.5;3301.5;3302.5;1527;60505;60690;60500;60645;20315
2017.01.02;13:45:00;3302;3302;3299.5;3301;2004;60645;60725;60580;60640;10649
2017.01.02;14:00:00;3300.5;3302.5;3300.5;3301.5;1829;60640;60675;60605;60640;4748
2017.01.02;14:15:00;3301.5;3302.5;3301;3301.5;1407;60640;60780;60625;60750;10307
2017.01.02;14:30:00;3301.5;3303;3299.5;3302.5;2324;60755;60800;60655;60680;10843
2017.01.02;14:45:00;3303;3306.5;3302.5;3305;3443;60675;60730;60610;60625;8836
2017.01.02;15:00:00;3305;3305.5;3300;3301.5;4365;60630;60710;60565;60675;8802
2017.01.02;15:15:00;3301.5;3303;3298.5;3300;4059;60675;60705;60600;60700;5740
2017.01.02;15:30:00;3300;3305;3300;3304.5;3015;60690;60775;60470;60490;18165
2017.01.02;15:45:00;3305;3311.5;3304.5;3310.5;8350;60490;60490;60335;60375;16291
2017.01.02;16:00:00;3310.5;3314;3308;3313;4789;60380;60460;60290;60315;11376
2017.01.02;16:15:00;3313.5;3316;3312;3313;5716;60310;60490;60310;60465;9492
2017.01.02;16:30:00;3313.5;3314;3309;3310;3106;60460;60640;60415;60625;12866
2017.01.02;16:45:00;3309.5;3310.5;3306.5;3309.5;3744;60625;60630;60515;60570;5320
2017.01.02;17:00:00;3309.5;3310;3306.5;3309;2466;60575;60595;60400;60430;6313
2017.01.02;17:15:00;3309;3310.5;3308.5;3309.5;1688;60425;60490;60350;60375;6980
2017.01.02;17:30:00;3309.5;3311;3308.5;3309;1561;60375;60480;60330;60355;7023
2017.01.02;17:45:00;3309;3315;3308;3314;3022;60355;60450;60315;60380;6980
2017.01.02;18:00:00;3313.5;3316.5;3311;3315;4104;60385;60410;60280;60280;5848
2017.01.03;09:00:00;3312.5;3318.5;3306;3314.5;21168;60800;60985;60750;60820;25507
2017.01.03;09:15:00;3314.5;3315.5;3306.5;3310.5;12625;60810;60910;60760;60895;15960
2017.01.03;09:30:00;3310;3311;3297;3299.5;18778;60900;60955;60815;60945;16169
2017.01.03;09:45:00;3299.5;3301;3292;3295.5;16032;60940;60975;60910;60930;16241
2017.01.03;10:00:00;3295;3297;3293.5;3294;5614;60935;61095;60915;61065;24050
2017.01.03;10:15:00;3294.5;3298.5;3294;3297.5;7653;61070;61160;61065;61155;14107
2017.01.03;10:30:00;3297;3298;3290;3294;13650;61150;61375;61150;61325;26858
2017.01.03;10:45:00;3293.5;3294.5;3288;3291;10337;61325;61445;61290;61440;17634
2017.01.03;11:00:00;3291.5;3296;3291;3293;8760;61435;61715;61405;61640;32735
2017.01.03;11:15:00;3293;3296.5;3291.5;3296;6984;61635;61810;61585;61725;30571
2017.01.03;11:30:00;3296;3298.5;3294;3294.5;6628;61720;61880;61660;61845;29188
2017.01.03;11:45:00;3294.5;3295;3292;3293.5;5336;61855;62025;61845;61985;34611
2017.01.03;12:00:00;3293.5;3295;3292;3294;3312;61985;62070;61855;61860;29492
2017.01.03;12:15:00;3294;3294.5;3291.5;3291.5;4044;61870;61990;61840;61950;24516
2017.01.03;12:30:00;3291.5;3292;3285.5;3287;11003;61960;62365;61955;62250;66144
2017.01.03;12:45:00;3286;3287.5;3277.5;3280.5;16374;62255;62430;62255;62330;29873
2017.01.03;13:00:00;3280;3284.5;3279.5;3283;10868;62330;62570;62325;62460;39337
2017.01.03;13:15:00;3283;3283.5;3278.5;3281.5;6687;62455;62645;62420;62580;28230
